SOURCE: Data,SOURCE: Related article,METHODS:                  Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,INTEGRAL DEPTH (m),Trichodesmium Colonies (x103 m-2),Trichodesmium Free trichomes (x106 m-2),Trichodesmium Total Trichomes (x106 m-2),Trichodesmium Biomass Conversion factor (mg C/106 trichomes),Trichodesmium Biomass (mg C m-2),UCYN Cells (x106 m-2),UCYN Biomass Conversion factor (mg C/106 cells),UCYN Biomass (mg C m-2),Richelia Associated Species,Richelia Cells (x106 m-2),Richelia Biomass Conversion factor (mg C/106 cells),Calothrix Associated Species,Calothrix Cells  (x106 m-2),Calothrix Biomass Conversion factor (mg C/106 cells),Heterocyst (Richelia & Calotrhix) Biomass (mg C m-2),Total Diazotrophic Biomass (mg C m-2),Surface Temperature (˚C),Surface Salinity (PSU),Surface Nitrate (µM),Surface Phosphate (µM),Surface Fe (nM),Chlorophyll  (mg m-2),Notes
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1973-09-29,26.90,-67.50,150,,,2.5638,30,76.913,,,,,,,,,,,76.913,27.32,36.66,0.064,0.000,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. Nitrate includes nitrate, nitrite plus ammonium. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1973-10-01,31.90,-70.50,150,,,0.4000,30,12.000,,,,,,,,,,,12.000,26.22,36.20,0.050,0.018,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. Nitrate includes nitrate, nitrite plus ammonium. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1973-10-02,32.10,-69.90,175,,,0.5139,30,15.416,,,,,,,,,,,15.416,126.19,36.20,0.012,0.006,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. Nitrate includes nitrate, nitrite plus ammonium. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1973-10-03,32.40,-70.10,175,,,0.3095,30,9.285,,,,,,,,,,,9.285,26.59,36.25,0.121,0.008,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. Nitrate includes nitrate, nitrite plus ammonium. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-02-06,20.17,-72.10,200,,,0.2653,30,7.958,,,,,,,,,,,7.958,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-02-08,20.24,-73.48,200,,,0.7328,30,21.984,,,,,,,,,,,21.984,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-02-11,20.36,-73.55,150,,,0.3738,30,11.214,,,,,,,,,,,11.214,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-02-12,19.82,-74.00,200,,,0.4021,30,12.062,,,,,,,,,,,12.062,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-02-13,19.63,-74.88,75,,,0.1264,30,3.791,,,,,,,,,,,3.791,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-02-14,19.39,-75.01,150,,,0.1785,30,5.356,,,,,,,,,,,5.356,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-02-16,18.11,-75.82,175,,,0.8242,30,24.727,,,,,,,,,,,24.727,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-02-17,17.72,-72.60,200,,,1.8691,30,56.074,,,,,,,,,,,56.074,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-02-18,17.51,-68.34,175,,,1.2869,30,38.606,,,,,,,,,,,38.606,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-02-19,16.75,-67.02,200,,,4.1490,30,124.470,,,,,,,,,,,124.470,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-02-20,14.98,-67.01,175,,,38.0616,30,1141.849,,,,,,,,,,,1141.849,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-02-21,12.91,-67.06,200,,,23.6750,30,710.250,,,,,,,,,,,710.250,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-02-22,11.77,-68.78,75,,,0.0860,30,2.580,,,,,,,,,,,2.580,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-02-26,14.09,-70.91,175,,,0.5817,30,17.450,,,,,,,,,,,17.450,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-02-27,16.48,-73.04,200,,,13.2009,30,396.026,,,,,,,,,,,396.026,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-03-01,19.73,-74.67,200,,,0.4345,30,13.034,,,,,,,,,,,13.034,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-03-02,20.27,-73.65,150,,,0.2628,30,7.883,,,,,,,,,,,7.883,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-03-03,20.23,-71.27,200,,,0.1423,30,4.269,,,,,,,,,,,4.269,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-03-04,18.55,-67.77,200,,,0.6535,30,19.604,,,,,,,,,,,19.604,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-03-05,17.98,-68.02,150,,,40.3563,30,1210.688,,,,,,,,,,,1210.688,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-08-08,13.66,-62.35,200,,,60.4744,30,1814.231,,,,,,,,,,,1814.231,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-08-09,13.65,-65.92,200,,,34.6849,30,1040.546,,,,,,,,,,,1040.546,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-08-10,13.72,-68.01,75,,,46.8425,30,1405.275,,,,,,,,,,,1405.275,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-08-10,15.23,-68.10,200,,,58.1388,30,1744.163,,,,,,,,,,,1744.163,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-08-11,18.30,-67.60,200,,,8.8278,30,264.833,,,,,,,,,,,264.833,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-08-12,20.63,-67.77,200,,,0.7678,30,23.033,,,,,,,,,,,23.033,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-08-13,23.01,-67.70,200,,,2.9660,30,88.980,,,,,,,,,,,88.980,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-08-14,25.78,-67.78,100,,,0.9830,30,29.490,,,,,,,,,,,29.490,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-08-15,28.52,-67.63,200,,,1.1953,30,35.858,,,,,,,,,,,35.858,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-08-16,31.67,-67.72,200,,,1.4817,30,44.452,,,,,,,,,,,44.452,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-08-17,32.80,-67.80,75,,,0.7873,30,23.618,,,,,,,,,,,23.618,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-08-18,34.93,-68.42,175,,,0.9883,30,29.648,,,,,,,,,,,29.648,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-08-19,36.46,-68.23,100,,,4.7560,30,142.680,,,,,,,,,,,142.680,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-08-20,37.85,-71.05,150,,,1.3974,30,41.922,,,,,,,,,,,41.922,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,"Carpenter and Price (1977) Limnol. Oceanogr., 22:60-72",Standard Light Microscopy,1974-08-21,39.43,-72.18,100,,,5.0016,30,150.049,,,,,,,,,,,150.049,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1994-05-24,23.87,-71.67,123,,,0.1792,elemental analyzer,1.200,,,,,,,,,,,1.200,27.05,36.43,,,,,Direct depth-integrate measurements
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1994-05-26,22.07,-66.54,137,,,0.1254,elemental analyzer,1.200,,,,,,,,,,,1.200,27.40,36.29,,,,,Direct depth-integrate measurements
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1994-05-27,21.04,-63.60,163,,,7.0482,elemental analyzer,59.000,,,,,,,,,,,59.000,26.89,36.48,,,,,Direct depth-integrate measurements
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1994-05-28,20.05,-60.82,172,,,95.8062,elemental analyzer,773.000,,,,,,,,,,,773.000,26.72,36.45,,,,,Direct depth-integrate measurements
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1994-05-29,19.12,-58.23,180,,,5.6409,elemental analyzer,44.000,,,,,,,,,,,44.000,26.62,35.18,,,,,Direct depth-integrate measurements
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1994-05-30,18.23,-55.68,140,,,57.5498,elemental analyzer,466.000,,,,,,,,,,,466.000,26.46,35.41,,,,,Direct depth-integrate measurements
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1994-05-31,17.31,-53.17,176,,,146.4815,elemental analyzer,1149.000,,,,,,,,,,,1149.000,26.27,35.30,,,,,Direct depth-integrate measurements
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1994-06-01,16.47,-50.82,140,,,38.5204,elemental analyzer,677.000,,,,,,,,,,,677.000,25.68,36.73,,,,,Direct depth-integrate measurements
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1994-06-04,14.88,-54.74,125,,,11.8719,elemental analyzer,108.000,,,,,,,,,,,108.000,26.66,35.45,,,,,Direct depth-integrate measurements
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1994-06-05,14.51,-57.44,80,,,320.3476,elemental analyzer,4533.000,,,,,,,,,,,4533.000,27.43,29.55,,,,,Direct depth-integrate measurements
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1994-06-06,14.16,-60.04,64,,,95.8484,elemental analyzer,1114.000,,,,,,,,,,,1114.000,27.21,34.30,,,,,Direct depth-integrate measurements
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1994-06-07,14.00,-61.09,110,,,60.0598,elemental analyzer,669.000,,,,,,,,,,,669.000,27.34,34.66,,,,,Direct depth-integrate measurements
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1994-06-10,15.24,-61.57,80,,,298.4400,30,8953.200,,,,,,,,,,,8953.200,27.81,35.06,,,,,Direct depth-integrate measurements
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1994-06-11,17.06,-63.41,94,,,229.1573,elemental analyzer,649.000,,,,,,,,,,,649.000,29.00,34.11,,,,,Direct depth-integrate measurements
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1994-06-12,18.14,-64.94,100,,,85.0079,30,2550.238,,,,,,,,,,,2550.238,27.72,35.73,,,,,Direct depth-integrate measurements
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1994-06-14,20.91,-70.07,145,,,154.3566,30,4630.698,,,,,,,,,,,4630.698,27.89,36.25,,,,,Direct depth-integrate measurements
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1994-06-16,24.06,-74.57,120,,,18.9409,elemental analyzer,143.000,,,,,,,,,,,143.000,27.98,36.40,,,,,Direct depth-integrate measurements
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1994-06-18,24.89,-76.61,121,,,25.0527,elemental analyzer,408.000,,,,,,,,,,,408.000,28.58,36.17,,,,,Direct depth-integrate measurements
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-03-29,11.35,-56.47,100,,,68.0374,30,2041.122,,,,,,,,,,,2041.122,27.00,34.92,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-03-30,9.69,-53.45,100,,,3.4355,30,103.065,,,,,,,,,,,103.065,27.00,36.08,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-03-31,8.00,-51.40,100,,,2.0833,30,62.499,,,,,,,,,,,62.499,27.10,36.13,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-04-01,6.65,-47.56,100,,,0.3810,30,11.429,,,,,,,,,,,11.429,27.58,36.08,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-04-02,6.27,-44.31,100,,,1.4101,30,42.304,,,,,,,,,,,42.304,27.31,36.02,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1996-04-03,6.23,-44.33,100,,,15.4769,elemental analyzer,36.000,,,,,,,,,,,36.000,27.44,35.99,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
